row;outline_level;thema;original_text;page_id;slug
2601;3;FinanceOpenItemInternalReconciliationEdit-Bezugs-Dok;Eingabefeld für: Bezugs-Dok.;;
2602;3;FinanceOpenItemInternalReconciliationEdit-Dok-Nummer;Nummer des Dokuments.;;
2603;3;FinanceOpenItemInternalReconciliationEdit-Betrag;Geldbetrag.;;
2604;3;FinanceOpenItemInternalReconciliationEdit-FinanceOpenItemOnPartnerPageEdit;FinanceOpenItemOnPartnerPageEdit;;
2639;3;FinancePaymentEdit-FinancePaymentPositionEdit_Modal;FinancePaymentPositionEdit_Modal;;
2646;3;FinancePaymentEdit-Offener Betrag;Noch nicht beglichener Betrag.;;
2647;3;FinancePaymentEdit-Gezahlter Betrag;Geldbetrag.;;
2648;3;FinancePaymentEdit-Skontobetrag;Geldbetrag.;;
2649;3;FinancePaymentEdit-Zulässiger Skontobetrag;Geldbetrag.;;
2650;3;FinancePaymentEdit-Künftiger offener Betrag;Geldbetrag.;;
2651;3;FinancePaymentEdit-Zweck;Eingabefeld für: Zweck.;;
2653;3;FinancePaymentWizard-Firmen Bankkonto;Bankkonto des eigenen Unternehmens.;;
2670;3;FinancePostingDraftEdit-Belegdatum;Datum des Belegs.;;
2681;3;FinancePostingDraftEdit-FinancePostingDraftEdit_Position;FinancePostingDraftEdit_Position;;
2682;3;FinancePostingDraftEdit-Pos;Laufende Positionsnummer.;;
2683;3;FinancePostingDraftEdit-K/L;Eingabefeld für: K/L.;;
2684;3;FinancePostingDraftEdit-Konto;Zugeordnetes Sachkonto.;;
2685;3;FinancePostingDraftEdit-Name;Bezeichnung des Datensatzes.;;
2686;3;FinancePostingDraftEdit-Bruttobetrag (FW);Geldbetrag.;;
2687;3;FinancePostingDraftEdit-Bruttobetrag;Geldbetrag.;;
2688;3;FinancePostingDraftEdit-Steuerschlüssel;Schlüssel zur Steuerermittlung.;;
2689;3;FinancePostingDraftEdit-Soll (FW);Eingabefeld für: Soll (FW).;;
2690;3;FinancePostingDraftEdit-Haben (FW);Eingabefeld für: Haben (FW).;;
2691;3;FinancePostingDraftEdit-Soll;Sollbetrag der Buchung.;;
2692;3;FinancePostingDraftEdit-Haben;Habenbetrag der Buchung.;;
2693;3;FinancePostingDraftEdit-Steuer %;Steuerrelevante Angabe.;;
2694;3;FinancePostingDraftEdit-Steuerbetrag (FW);Geldbetrag.;;
2695;3;FinancePostingDraftEdit-Steuerbetrag;Geldbetrag.;;
